Fri Oct  8 04:24:10 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:25:46 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:27:52 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:28:56 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:30:07 2021, LOGOUT, a-1000, Logged out!
Fri Oct  8 04:30:16 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:51:09 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:53:56 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 04:59:40 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 05:00:41 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 05:04:07 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 05:05:20 2021, LOGIN, a-1000, Logged in!
Fri Oct 08 05:06:48 2021, LOGIN, a-1000, Logged in!
Fri Oct 08 05:08:47 2021, LOGIN, a-1000, Logged in!
Fri Oct 08 05:10:18 2021, LOGIN, a-1000, Logged in!
Fri Oct  8 05:24:10 2021, LOGIN, a-1000, Logged in!0
Fri Oct  8 05:24:16 2021, DELETION, a-1000, deleted,id1006
Fri Oct  8 05:24:26 2021, LOGOUT, a-1000, Logged out!0
